CountryId,Year,Happiness Rank,Happiness Score,Family,Health (Life Expectancy),Economy (GDP per Capita),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual
1,2015,1,7.587,1.34951,0.94143,1.39651,0.66557,0.29678,0.41978,2.51738
2,2015,2,7.561,1.40223,0.94784,1.30232,0.62877,0.4363,0.14145,2.70201
3,2015,3,7.527,1.36058,0.87464,1.32548,0.64938,0.34139,0.48357,2.49204
4,2015,4,7.522,1.33095,0.88521,1.459,0.66973,0.34699,0.36503,2.46531
5,2015,5,7.427,1.32261,0.90563,1.32629,0.63297,0.45811,0.32957,2.45176
6,2015,6,7.406,1.31826,0.88911,1.29025,0.64169,0.23351,0.41372,2.61955
7,2015,7,7.378,1.28017,0.89284,1.32944,0.61576,0.4761,0.31814,2.4657
8,2015,8,7.364,1.28907,0.91087,1.33171,0.6598,0.36262,0.43844,2.37119
9,2015,9,7.286,1.31967,0.90837,1.25018,0.63938,0.47501,0.42922,2.26425
10,2015,10,7.284,1.30923,0.93156,1.33358,0.65124,0.43562,0.35637,2.26646
11,2015,11,7.278,1.22393,0.91387,1.22857,0.41319,0.33172,0.07785,3.08854
12,2015,12,7.226,1.23788,0.86027,0.95578,0.63376,0.25497,0.10583,3.17728
13,2015,13,7.2,1.29704,0.89042,1.33723,0.62433,0.33088,0.18676,2.5332
14,2015,14,7.187,0.91451,0.81444,1.02054,0.48181,0.14074,0.21312,3.60214
15,2015,15,7.119,1.24711,0.86179,1.39451,0.54604,0.40105,0.1589,2.51011
16,2015,16,6.983,1.23287,0.69702,0.98124,0.49049,0.14574,0.17521,3.26001
17,2015,17,6.946,1.21963,0.91894,1.56391,0.61583,0.28034,0.37798,1.96961
18,2015,18,6.94,1.36948,0.89533,1.33596,0.61777,0.45901,0.28703,1.9757
19,2015,19,6.937,1.28566,0.89667,1.30782,0.5845,0.2225,0.2254,2.41484
20,2015,20,6.901,1.12575,0.80925,1.42727,0.64157,0.26428,0.38583,2.24743
21,2015,21,6.867,1.28548,0.90943,1.26637,0.59625,0.51912,0.32067,1.96994
22,2015,22,6.853,1.08182,0.76276,1.36011,0.63274,0.21542,0.32524,2.47489
23,2015,23,6.81,1.25596,0.72052,1.04424,0.42908,0.05841,0.11069,3.19131
24,2015,24,6.798,1.02,1.02525,1.52186,0.54252,0.31105,0.4921,1.88501
25,2015,25,6.786,1.1985,0.79661,1.06353,0.5421,0.24434,0.0927,2.84848
26,2015,26,6.75,1.29937,0.89186,1.32792,0.61477,0.28214,0.21843,2.11569
27,2015,27,6.67,1.12447,0.85857,1.10715,0.44132,0.33363,0.12869,2.67585
28,2015,28,6.611,1.0786,0.79733,1.69042,0.6404,0.32573,0.52208,1.55674
29,2015,29,6.575,1.26038,0.94579,1.27778,0.55011,0.12332,0.20646,2.21126
30,2015,30,6.574,1.24823,0.78723,1.05351,0.44974,0.11451,0.08484,2.836
31,2015,31,6.505,1.20643,0.84483,1.17898,0.46364,0.10686,0.02652,2.67782
32,2015,32,6.485,1.2089,0.8116,1.06166,0.60362,0.2324,0.24558,2.32142
33,2015,33,6.477,1.24018,0.69077,0.91861,0.53466,0.18401,0.0512,2.85737
34,2015,34,6.455,1.26504,0.7385,0.9669,0.55664,0.5763,0.03187,2.31945
35,2015,35,6.411,1.08393,0.72025,1.39541,0.31048,0.13706,0.32524,2.43872
36,2015,36,6.329,1.31379,0.95562,1.23011,0.45951,0.18227,0.06398,2.12367
37,2015,37,6.302,1.30203,0.88721,1.2074,0.60365,0.51752,0.13586,1.6488
38,2015,38,6.298,1.07617,0.8753,1.29098,0.3974,0.25376,0.08129,2.32323
39,2015,39,6.295,1.16594,0.72492,1.55422,0.55499,0.16228,0.25609,1.87634
40,2015,40,6.269,0.972,0.6082,0.99534,0.59657,0.16991,0.13633,2.79094
41,2015,41,6.168,1.18354,0.61483,1.21183,0.55884,0.31844,0.0114,2.26882
42,2015,42,6.13,1.02507,0.67737,0.76454,0.4035,0.10692,0.11776,3.035
43,2015,43,6.123,1.04356,0.64425,0.74553,0.57733,0.27489,0.09472,2.74255
44,2015,44,6.003,1.34043,0.59772,0.63244,0.65821,0.22837,0.30826,2.23741
45,2015,45,5.995,1.26999,0.78902,1.16891,0.31751,0.16893,0.03431,2.24639
46,2015,46,5.987,1.25712,0.99111,1.27074,0.49615,0.10705,0.1806,1.68435
47,2015,47,5.984,0.95774,0.96538,1.24461,0.33208,0.18557,0.07857,2.21978
48,2015,48,5.975,0.99903,0.79075,0.86402,0.48574,0.11541,0.1809,2.53942
49,2015,49,5.96,1.21624,0.74716,1.32376,0.45492,0.17362,0.306,1.73797
50,2015,50,5.948,1.19777,0.95446,1.25114,0.26236,0.22823,0.02901,2.02518
51,2015,51,5.89,0.97841,0.5392,0.68133,0.57414,0.20536,0.088,2.82334
52,2015,52,5.889,1.01528,0.61826,0.59448,0.32818,0.20951,0.01615,3.10712
53,2015,53,5.878,1.30477,0.66098,0.75985,0.53899,0.3424,0.08242,2.18896
54,2015,54,5.855,1.12241,0.64368,1.12254,0.51649,0.11827,0.08454,2.24729
55,2015,55,5.848,1.27385,0.87337,1.18498,0.60855,0.25328,0.03787,1.61583
56,2015,56,5.833,1.25745,0.73128,1.14723,0.21342,0.02641,0.01031,2.44649
57,2015,57,5.828,1.14184,0.74314,0.59325,0.55475,0.27815,0.19317,2.32407
58,2015,58,5.824,0.97459,0.73017,0.90019,0.41496,0.14982,0.05989,2.5945
59,2015,59,5.813,1.23289,0.73608,1.03192,0.37938,0.11046,0.1909,2.1309
60,2015,60,5.791,1.27948,0.77903,1.12555,0.53122,0.16759,0.04212,1.86565
61,2015,61,5.77,1.07023,0.72394,1.12486,0.53024,0.33075,0.10501,1.88541
62,2015,62,5.759,0.79624,0.78805,1.08254,0.25883,0.05444,0.0243,2.75414
63,2015,63,5.754,1.11862,0.7038,1.13145,0.41668,0.18295,0.11023,2.09066
64,2015,64,5.716,1.23617,0.66926,1.13764,0.36679,0.00199,0.03005,2.27394
65,2015,65,5.709,1.15102,0.68741,0.81038,0.50442,0.2123,0.02299,2.32038
66,2015,66,5.695,1.07008,0.92356,1.20806,0.49027,0.26169,0.1428,1.59888
67,2015,67,5.689,0.89318,0.92356,1.20813,0.40672,0.30638,0.06146,1.88931
68,2015,68,5.605,1.07772,0.61766,0.93929,0.28579,0.07822,0.17383,2.43209
69,2015,69,5.589,0.81198,0.63132,0.80148,0.24749,0.2831,0.04741,2.76579
70,2015,70,5.548,1.22668,0.53886,0.95847,0.4761,0.16979,0.30844,1.86984
71,2015,71,5.477,0.98521,0.7095,1.00761,0.56066,0.37744,0.07521,1.76145
72,2015,72,5.474,1.05818,1.01328,1.38604,0.59608,0.39478,0.37124,0.65429
73,2015,73,5.429,1.22791,0.77361,1.15174,0.44888,0.0868,0.15184,1.58782
74,2015,74,5.399,1.08708,0.63793,0.82827,0.46611,0.51535,0,1.86399
75,2015,75,5.36,0.91226,0.74676,0.63216,0.59444,0.1686,0.10441,2.20173
76,2015,76,5.332,0.94632,0.73172,1.06098,0.22815,0.12253,0.15746,2.08528
77,2015,77,5.286,1.15115,0.65088,0.47428,0.43477,0.3003,0.04232,2.2327
78,2015,78,5.268,0.90432,0.16007,0.65435,0.34334,0.27233,0.0403,2.89319
79,2015,79,5.253,1.10395,0.57407,0.77042,0.53206,0.47998,0.15445,1.63794
80,2015,80,5.212,0.93793,0.64045,1.02389,0.3703,0.07799,0.16065,2.00073
81,2015,81,5.194,0.41411,0.51466,0.59543,0.12102,0.33671,0.10464,3.10709
82,2015,82,5.192,1.05392,0.69639,0.90198,0.40661,0.11053,0.14293,1.87996
83,2015,82,5.192,0.90557,0.72521,0.97438,0.1826,0.1614,0.14296,2.10017
84,2015,84,5.14,0.94675,0.81658,0.89012,0.51697,0.08185,0.02781,1.8604
85,2015,85,5.129,0.91612,0.29924,0.47038,0.48827,0.19591,0.12468,2.6343
86,2015,86,5.124,0.88588,0.7689,1.04345,0.35068,0.13748,0.00649,1.93129
87,2015,87,5.123,1.00964,0.74836,0.92053,0.20107,0.19231,0.02617,2.025
88,2015,88,5.102,1.13935,0.87519,1.15991,0.51469,0.13719,0.01078,1.26462
89,2015,89,5.098,1.09562,0.72437,1.11312,0.29671,0.18226,0.06332,1.62215
90,2015,90,5.073,1.03516,0.58114,0.70532,0.62545,0.24991,0.12279,1.7536
91,2015,91,5.057,0.95152,0.43873,0.18847,0.46582,0.50318,0.39928,2.11032
92,2015,92,5.013,0.64095,0.60954,0.73479,0.41691,0.07172,0.08546,2.45373
93,2015,93,5.007,1.00232,0.73545,0.91851,0.33457,0.22359,0.05327,1.73933
94,2015,94,4.971,1.02626,0.09131,0.08308,0.34037,0.22269,0.15603,3.05137
95,2015,95,4.959,0.80434,0.81325,0.87867,0.35733,0.14272,0.06413,1.89894
96,2015,96,4.949,0.91916,0.79081,0.83223,0.09245,0.24808,0.00227,2.06367
97,2015,97,4.898,1.04103,0.07612,0.37545,0.31767,0.16388,0.12504,2.79832
98,2015,98,4.885,1.17202,0.66825,0.89537,0.57672,0.21684,0.14234,1.21305
99,2015,99,4.876,0.73803,0.54909,0.59066,0.59591,0.42192,0.24249,1.73799
100,2015,100,4.874,1.3006,0.60268,0.82819,0.43626,0.3323,0.02666,1.34759
101,2015,101,4.867,1.07284,0.07566,0.71206,0.30658,0.18259,0.0306,2.48676
102,2015,102,4.857,0.92933,0.88213,1.15406,0.07699,0,0.01397,1.80101
103,2015,103,4.839,0.80001,0.83947,1.02564,0.33916,0.21854,0.04582,1.57059
104,2015,104,4.8,1.20215,0.75905,1.12094,0.32112,0.128,0.02758,1.24074
105,2015,105,4.788,0.95348,0.6951,0.59532,0.40148,0.23027,0.06825,1.84408
106,2015,106,4.786,0.85563,0.57379,0.39047,0.47216,0.22974,0.15072,2.11399
107,2015,107,4.739,0.60429,0.73793,0.88113,0.26268,0.06431,0.06358,2.12466
108,2015,108,4.715,0.92558,0.66015,0.59867,0.24499,0.11251,0.12905,2.04384
109,2015,109,4.694,0.43106,0.60164,0.39753,0.4082,0.21222,0.12569,2.51767
110,2015,110,4.686,0.54447,0.69805,1.0088,0.30033,0.38086,0.05863,1.6944
111,2015,111,4.681,1.20278,0.6739,0.79907,0.25123,0.15275,0.02961,1.5714
112,2015,112,4.677,0.81889,0.60237,0.98549,0,0.17922,0.13788,1.95335
113,2015,113,4.642,1.18468,0.27688,0.92049,0.33207,0.11973,0.08884,1.71956
114,2015,114,4.633,0.67954,0.40132,0.54558,0.42342,0.23087,0.04355,2.30919
115,2015,115,4.61,1.03276,0.33475,0.271,0.25861,0.18987,0.08079,2.44191
116,2015,116,4.571,0.78968,0.34201,0.0712,0.28531,0.24362,0.06232,2.77729
117,2015,117,4.565,0.38174,0.51529,0.64499,0.39786,0.26475,0.08492,2.27513
118,2015,118,4.55,1.01404,0.36878,0.52107,0.10081,0.19062,0.1466,2.20857
119,2015,119,4.518,0.74302,0.38847,0.26673,0.24425,0.46187,0.17175,2.24173
120,2015,120,4.517,1.0012,0.09806,0,0.22605,0.24834,0.07625,2.86712
121,2015,121,4.514,0.86449,0.56874,0.35997,0.38282,0.32296,0.05907,1.95637
122,2015,122,4.512,0.60406,0.44055,0.19073,0.4345,0.24325,0.15048,2.44876
123,2015,123,4.507,0.95571,0,0.33024,0.4084,0.21488,0.08786,2.51009
124,2015,124,4.436,0.86908,0.35874,0.45407,0.24232,0.219,0.17461,2.11773
125,2015,125,4.419,0.99876,0.41435,0.36471,0.42215,0.37542,0.05839,1.78555
126,2015,126,4.369,0.59207,0.36291,0.44025,0.46074,0.18093,0.28105,2.05125
127,2015,127,4.35,0.77711,0.7299,0.76821,0.19847,0.07855,0.039,1.75873
128,2015,128,4.332,1.10464,0.04776,0.99355,0.49495,0.10461,0.12474,1.46181
129,2015,129,4.307,0.70905,0.48246,0.27108,0.44017,0.79588,0.19034,1.41805
130,2015,130,4.297,0.38562,0.72926,0.7419,0.40577,0.05547,0.38331,1.59541
131,2015,131,4.292,0.41134,0.22562,0.01604,0.43054,0.33128,0.06977,2.80791
132,2015,132,4.271,1.01905,0.70806,0.83524,0.53726,0.40828,0.09179,0.67108
133,2015,133,4.252,0.88767,0.23402,0.4225,0.49309,0.20618,0.05786,1.95071
134,2015,134,4.218,1.10614,0.76649,1.01216,0.30587,0.11921,0.00872,0.89991
135,2015,135,4.194,0.747,0.61712,0.8818,0.17288,0.11291,0.06324,1.59927
136,2015,136,4.077,0.68093,0.40064,0.54649,0.35571,0.09131,0.07854,1.92313
137,2015,137,4.033,0.8604,0.16683,0.75778,0.10384,0.12344,0.07122,1.94939
138,2015,138,3.995,1.03526,0.20583,0.26074,0.38857,0.18798,0.12352,1.79293
139,2015,139,3.989,0.6629,0.31051,0.67866,0.41466,0.12388,0.11686,1.68135
140,2015,140,3.956,0.79273,0.36315,0.23906,0.22917,0.17441,0.199,1.95812
