Country ID,Year,Happiness Rank,Happiness Score,Family,Health (Life Expectancy),Economy (GDP per Capita),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual
3,2016,1,7.526,1.16374,0.79504,1.44178,0.57941,0.36171,0.44453,2.73939
1,2016,2,7.509,1.14524,0.86303,1.52733,0.58557,0.28083,0.41203,2.69463
2,2016,3,7.501,1.18326,0.86733,1.42666,0.56624,0.47678,0.14975,2.83137
4,2016,4,7.498,1.1269,0.79579,1.57744,0.59609,0.37895,0.35776,2.66465
6,2016,5,7.413,1.13464,0.81091,1.40598,0.57104,0.25492,0.41004,2.82596
5,2016,6,7.404,1.0961,0.8276,1.44015,0.5737,0.44834,0.31329,2.70485
7,2016,7,7.339,1.02912,0.81231,1.46468,0.55211,0.47416,0.29927,2.70749
9,2016,8,7.334,1.17278,0.83096,1.36066,0.58147,0.49401,0.41904,2.47553
10,2016,9,7.313,1.10476,0.8512,1.44443,0.56837,0.47407,0.32331,2.5465
8,2016,10,7.291,1.08764,0.83121,1.45181,0.58218,0.38254,0.40867,2.54734
11,2016,11,7.267,0.99537,0.84917,1.33766,0.36432,0.32288,0.08728,3.31029
13,2016,12,7.119,1.08383,0.80565,1.45038,0.54355,0.32865,0.21348,2.69343
15,2016,13,7.104,1.04782,0.779,1.50796,0.48163,0.41077,0.14868,2.72782
12,2016,14,7.087,1.02152,0.76146,1.06879,0.55225,0.22553,0.10547,3.35168
161,2016,15,7.039,1.08113,0.77758,1.35943,0.46823,0.22202,0.12275,3.0076
26,2016,16,6.994,1.09774,0.81487,1.44787,0.53466,0.30452,0.28551,2.50931
16,2016,17,6.952,1.03938,0.61415,1.08754,0.40425,0.15776,0.14166,3.50733
19,2016,18,6.929,1.05249,0.81959,1.42539,0.51354,0.2424,0.26248,2.61355
18,2016,19,6.907,1.16157,0.81455,1.48341,0.54008,0.44963,0.29754,2.15988
17,2016,20,6.871,1.03999,0.84542,1.69752,0.5487,0.27571,0.35329,2.11055
14,2016,21,6.778,0.7146,0.71143,1.11508,0.37709,0.11735,0.18355,3.55906
24,2016,22,6.739,0.86758,0.94719,1.64555,0.4877,0.32706,0.46987,1.99375
21,2016,23,6.725,1.08672,0.80991,1.40283,0.50036,0.50156,0.27399,2.14999
27,2016,24,6.705,0.90587,0.81883,1.2167,0.37789,0.31595,0.11451,2.95505
25,2016,25,6.701,0.98912,0.70835,1.18306,0.48927,0.2418,0.08423,3.00559
30,2016,26,6.65,1.06612,0.69711,1.15137,0.42284,0.10989,0.07296,3.12985
31,2016,27,6.596,1.00793,0.76376,1.30915,0.41418,0.09929,0.03986,2.96211
20,2016,28,6.573,0.87114,0.72993,1.57352,0.56215,0.26591,0.35561,2.21507
32,2016,29,6.545,1.03143,0.72183,1.18157,0.54388,0.18056,0.21394,2.67139
37,2016,30,6.488,1.09879,0.80315,1.30782,0.54994,0.56237,0.17554,1.99032
33,2016,31,6.481,1.02169,0.59659,1.03032,0.44735,0.15626,0.05399,3.17471
29,2016,32,6.478,1.00508,0.83795,1.39488,0.46562,0.1216,0.17808,2.4744
34,2016,33,6.474,1.04477,0.64915,1.0893,0.49553,0.58696,0.02833,2.5796
35,2016,34,6.379,0.84829,0.59267,1.48953,0.37904,0.15457,0.30008,2.61482
38,2016,34,6.379,0.92624,0.79565,1.39729,0.32377,0.25495,0.0663,2.61523
28,2016,36,6.375,0.87964,0.71723,1.82427,0.56679,0.32388,0.48049,1.58224
36,2016,37,6.361,1.12945,0.87896,1.34253,0.37545,0.17665,0.06137,2.39663
68,2016,38,6.355,0.83309,0.61804,1.05266,0.21006,0.07044,0.16157,3.40904
43,2016,39,6.324,0.87119,0.54039,0.83454,0.50379,0.28808,0.08701,3.19863
40,2016,40,6.269,0.77866,0.50933,1.09686,0.52234,0.16665,0.12692,3.06852
39,2016,41,6.239,0.87758,0.63569,1.61714,0.43166,0.15965,0.23669,2.28085
49,2016,42,6.218,0.94397,0.65696,1.44024,0.47375,0.17147,0.25772,2.27405
41,2016,43,6.168,0.98569,0.52608,1.32572,0.48453,0.31935,0.01241,2.51394
23,2016,44,6.084,1.03302,0.61904,1.13367,0.19847,0.0425,0.08304,2.97468
45,2016,45,6.078,1.08268,0.70367,1.27973,0.23391,0.13837,0.02947,2.61065
42,2016,46,6.068,0.80975,0.596,0.8737,0.37269,0.08877,0.10613,3.22134
61,2016,47,6.005,0.88025,0.62366,1.25142,0.39031,0.41474,0.09081,2.35384
57,2016,48,5.992,0.89521,0.65213,0.69384,0.46582,0.29773,0.16292,2.82428
44,2016,49,5.987,1.1681,0.50163,0.73591,0.60848,0.34326,0.28333,2.34638
50,2016,50,5.977,1.04167,0.85102,1.35495,0.18827,0.16684,0.02556,2.34918
48,2016,51,5.976,0.85974,0.68613,0.97306,0.4027,0.10074,0.18037,2.77366
159,2016,52,5.956,0.68655,0.45569,0.87616,0.51231,0.23684,0.10771,3.08039
46,2016,53,5.921,1.06054,0.91491,1.38007,0.46761,0.10224,0.18985,1.80584
54,2016,54,5.919,0.95544,0.57386,1.22943,0.4052,0.15011,0.11132,2.49325
52,2016,55,5.897,0.83132,0.52309,0.69177,0.25202,0.19997,0.01903,3.38007
64,2016,56,5.856,1.05261,0.58991,1.23228,0.32682,0.02736,0.03586,2.59115
60,2016,57,5.835,1.04685,0.69058,1.24585,0.4519,0.14443,0.055,2.20035
47,2016,57,5.835,0.72194,0.88645,1.35948,0.25168,0.18824,0.07716,2.35015
51,2016,59,5.822,0.83779,0.4697,0.79422,0.50961,0.21698,0.07746,2.91635
56,2016,60,5.813,1.06411,0.64674,1.2692,0.18929,0.02025,0.0182,2.60525
59,2016,61,5.802,1.04993,0.63104,1.13062,0.29091,0.13942,0.17457,2.38582
66,2016,62,5.771,0.81826,0.84142,1.31141,0.43596,0.26322,0.16578,1.93447
55,2016,63,5.768,1.05613,0.79151,1.29947,0.53164,0.25738,0.03635,1.79522
58,2016,64,5.743,0.81255,0.62994,0.99602,0.37502,0.14527,0.05292,2.73117
70,2016,65,5.658,1.03817,0.44006,1.08017,0.37408,0.22567,0.28467,2.21489
71,2016,66,5.648,0.75695,0.66189,1.14372,0.46145,0.36951,0.05203,2.20223
63,2016,67,5.615,0.95076,0.52304,1.06688,0.40672,0.17087,0.10339,2.39374
89,2016,68,5.56,0.95025,0.63952,1.21788,0.27996,0.17445,0.0889,2.20859
67,2016,69,5.546,0.70697,0.8488,1.31857,0.29507,0.27906,0.05228,2.04497
53,2016,70,5.538,1.11111,0.58295,0.89373,0.46235,0.25296,0.07396,2.16091
86,2016,71,5.528,0.72803,0.67602,1.1697,0.36712,0.12889,0.00679,2.45184
73,2016,72,5.517,1.05163,0.68098,1.27964,0.41511,0.08423,0.18519,1.81985
65,2016,73,5.51,0.96372,0.59469,0.89333,0.43597,0.22245,0.04294,2.35682
62,2016,74,5.488,0.60809,0.70524,1.18649,0.23907,0.18434,0.04002,2.52462
72,2016,75,5.458,0.87021,0.95277,1.5107,0.48079,0.40097,0.31647,0.92614
160,2016,76,5.44,0.33613,0.11466,0,0.56778,0.27225,0.3118,3.83772
69,2016,77,5.401,0.66062,0.54,0.90145,0.14396,0.27992,0.06547,2.80998
76,2016,78,5.389,0.87717,0.64718,1.16492,0.23889,0.04707,0.12348,2.29074
74,2016,79,5.314,0.87625,0.49374,0.95104,0.39237,0.56521,0.00322,2.03171
82,2016,80,5.303,0.86216,0.60712,0.99673,0.36023,0.14262,0.13297,2.20142
80,2016,81,5.291,0.76042,0.54504,1.12373,0.35327,0.0564,0.17914,2.2735
90,2016,82,5.279,0.87877,0.47036,0.81217,0.54854,0.21674,0.11757,2.23484
84,2016,83,5.245,0.79381,0.73561,1.0278,0.44012,0.04959,0.02745,2.17087
79,2016,84,5.196,0.90836,0.49759,0.8527,0.46074,0.48546,0.1616,1.82916
77,2016,85,5.185,0.95434,0.55449,0.56044,0.40212,0.38432,0.04762,2.28136
87,2016,86,5.177,0.81329,0.6458,1.03437,0.15718,0.20737,0.04339,2.27539
96,2016,87,5.163,0.64367,0.70766,0.93383,0.09511,0.29889,0,2.48406
83,2016,88,5.161,0.74173,0.63533,1.07838,0.15111,0.17191,0.12721,2.25531
98,2016,89,5.155,0.99496,0.57669,1.02787,0.52259,0.21286,0.12372,1.69626
92,2016,90,5.151,0.38595,0.59471,0.84058,0.25646,0.04053,0.08404,2.94891
104,2016,91,5.145,0.93164,0.67608,1.24142,0.1977,0.099,0.04472,1.95473
81,2016,92,5.132,0.26135,0.40306,0.68816,0.14622,0.31185,0.1388,3.18286
103,2016,93,5.129,0.64184,0.76171,1.12268,0.26228,0.23693,0.03061,2.07339
88,2016,94,5.123,0.94367,0.79363,1.27607,0.44727,0.11691,0.01521,1.53015
93,2016,95,5.121,0.78236,0.64738,1.0193,0.27668,0.23507,0.07047,2.08947
75,2016,96,5.061,0.79117,0.66157,0.74037,0.55954,0.25075,0.11556,1.9418
91,2016,97,5.057,0.75862,0.33108,0.25558,0.3913,0.51479,0.36794,2.43801
107,2016,98,5.045,0.43165,0.59577,0.97724,0.23553,0.03936,0.0817,2.68413
102,2016,99,5.033,0.75473,0.80029,1.24886,0.05822,0,0.04127,2.12944
106,2016,100,4.996,0.75602,0.53119,0.48835,0.43408,0.25998,0.13509,2.39106
100,2016,101,4.907,1.08983,0.55469,0.98853,0.35972,0.34539,0.03285,1.53586
99,2016,102,4.876,0.5497,0.38291,0.68042,0.52168,0.43079,0.22423,2.08637
78,2016,103,4.875,0.64498,0.05108,0.75216,0.27854,0.23219,0.0305,2.88586
105,2016,104,4.871,0.75596,0.58383,0.69429,0.26755,0.2044,0.06906,2.29551
110,2016,105,4.813,0.38857,0.64232,1.11758,0.22544,0.38538,0.0557,1.99817
85,2016,106,4.795,0.6376,0.23573,0.61202,0.42662,0.17866,0.11479,2.58991
121,2016,107,4.793,0.69699,0.50073,0.44626,0.37012,0.3816,0.07008,2.32694
108,2016,108,4.754,0.71629,0.56844,0.67024,0.17744,0.11154,0.10613,2.40364
95,2016,109,4.655,0.50163,0.73007,0.9553,0.31866,0.1684,0.05301,1.92816
109,2016,110,4.643,0.24749,0.52989,0.54177,0.39778,0.19132,0.12583,2.60904
123,2016,111,4.635,0.628,0,0.36485,0.30685,0.23897,0.08196,3.01402
112,2016,112,4.575,0.59205,0.51076,1.07474,0.24856,0.19589,0.13636,1.81657
162,2016,113,4.574,0.70362,0.34745,0.93287,0.48614,0.07795,0.10398,1.92198
133,2016,114,4.513,0.62542,0.12698,0.52497,0.42736,0.2268,0.06126,2.5198
122,2016,115,4.508,0.37932,0.34578,0.29283,0.36703,0.29522,0.1717,2.65614
113,2016,116,4.459,0.96053,0.18611,1.02416,0.42483,0.13656,0.08415,1.64227
132,2016,117,4.415,0.84783,0.62007,0.97318,0.50817,0.46978,0.07964,0.91681
117,2016,118,4.404,0.29247,0.45091,0.74036,0.40285,0.25028,0.08722,2.18032
129,2016,119,4.395,0.69981,0.3988,0.34112,0.42692,0.81971,0.20243,1.50655
135,2016,120,4.362,0.49813,0.52116,0.95395,0.18847,0.12706,0.10393,1.96895
127,2016,121,4.36,0.62477,0.64083,0.86086,0.14037,0.07793,0.03616,1.97864
125,2016,122,4.356,0.7624,0.30147,0.52267,0.40576,0.41328,0.06686,1.88326
111,2016,123,4.324,1.01413,0.58628,0.87287,0.12859,0.20363,0.01829,1.50066
114,2016,124,4.276,0.49353,0.29681,0.63107,0.40973,0.21203,0.0326,2.2002
120,2016,125,4.272,0.80676,0.188,0.05661,0.15602,0.25458,0.06075,2.74924
130,2016,126,4.252,0.19249,0.64035,0.83792,0.32461,0.06786,0.3188,1.87031
139,2016,127,4.236,0.47799,0.28212,0.77109,0.37938,0.12077,0.09753,2.10681
142,2016,128,4.219,0.77416,0.40457,0.44314,0.31056,0.19103,0.11681,1.97861
134,2016,129,4.217,0.92542,0.67806,1.11306,0.21219,0.12793,0.00615,1.15377
124,2016,130,4.201,0.84142,0.28639,0.61391,0.1268,0.22686,0.17955,1.9263
115,2016,131,4.193,0.71478,0.1595,0.35041,0.25429,0.18503,0.08582,2.4427
131,2016,132,4.156,0.147,0.29364,0.08709,0.4143,0.30968,0.07564,2.82859
118,2016,133,4.139,0.81928,0.29759,0.63069,0,0.18077,0.10039,2.10995
143,2016,134,4.121,0.72368,0.3494,1.15851,0.28098,0.06244,0.09314,1.45332
138,2016,135,4.073,0.86333,0.16347,0.31292,0.27544,0.21064,0.13647,2.11087
119,2016,136,4.028,0.29561,0.27494,0.34097,0.12072,0.47958,0.14476,2.37116
