ID,Region_ID,Country
1,100,Switzerland
2,100,Iceland
3,100,Denmark
4,100,Norway
5,104,Canada
6,100,Finland
7,100,Netherlands
8,100,Sweden
9,101,New Zealand
10,101,Australia
11,102,Israel
12,103,Costa Rica
13,100,Austria
14,103,Mexico
15,104,United States
16,103,Brazil
17,100,Luxembourg
18,100,Ireland
19,100,Belgium
20,102,United Arab Emirates
21,100,United Kingdom
22,102,Oman
23,103,Venezuela
24,105,Singapore
25,103,Panama
26,100,Germany
27,103,Chile
28,102,Qatar
29,100,France
30,103,Argentina
31,106,Czech Republic
32,103,Uruguay
33,103,Colombia
34,105,Thailand
35,102,Saudi Arabia
36,100,Spain
37,100,Malta
38,107,Taiwan
39,102,Kuwait
40,103,Suriname
41,103,Trinidad and Tobago
42,103,El Salvador
43,103,Guatemala
44,106,Uzbekistan
45,106,Slovakia
46,107,Japan
47,107,South Korea
48,103,Ecuador
49,102,Bahrain
50,100,Italy
51,103,Bolivia
52,106,Moldova
53,103,Paraguay
54,106,Kazakhstan
55,106,Slovenia
56,106,Lithuania
57,103,Nicaragua
58,103,Peru
59,106,Belarus
60,106,Poland
61,105,Malaysia
62,106,Croatia
63,102,Libya
64,106,Russia
65,103,Jamaica
66,100,North Cyprus
67,100,Cyprus
68,102,Algeria
69,106,Kosovo
70,106,Turkmenistan
71,109,Mauritius
72,107,Hong Kong
73,106,Estonia
74,105,Indonesia
75,105,Vietnam
76,102,Turkey
77,106,Kyrgyzstan
78,109,Nigeria
79,110,Bhutan
80,106,Azerbaijan
81,110,Pakistan
82,102,Jordan
83,106,Montenegro
84,107,China
85,109,Zambia
86,106,Romania
87,106,Serbia
88,100,Portugal
89,106,Latvia
90,105,Philippines
91,109,Somaliland region
92,102,Morocco
93,106,Macedonia
94,109,Mozambique
95,106,Albania
96,106,Bosnia and Herzegovina
97,109,Lesotho
98,103,Dominican Republic
99,105,Laos
100,107,Mongolia
101,109,Swaziland
102,100,Greece
103,102,Lebanon
104,106,Hungary
105,103,Honduras
106,106,Tajikistan
107,102,Tunisia
108,102,Palestinian Territories
109,110,Bangladesh
110,102,Iran
111,106,Ukraine
112,102,Iraq
113,109,South Africa
114,109,Ghana
115,109,Zimbabwe
116,109,Liberia
117,110,India
118,109,Sudan
119,103,Haiti
120,109,Congo (Kinshasa)
121,110,Nepal
122,109,Ethiopia
123,109,Sierra Leone
124,109,Mauritania
125,109,Kenya
126,109,Djibouti
127,106,Armenia
128,109,Botswana
129,105,Myanmar
130,106,Georgia
131,109,Malawi
132,110,Sri Lanka
133,109,Cameroon
134,106,Bulgaria
135,102,Egypt
136,102,Yemen
137,109,Angola
138,109,Mali
139,109,Congo (Brazzaville)
140,109,Comoros
141,109,Uganda
142,109,Senegal
143,109,Gabon
144,109,Niger
145,105,Cambodia
146,109,Tanzania
147,109,Madagascar
148,109,Central African Republic
149,109,Chad
150,109,Guinea
151,109,Ivory Coast
152,109,Burkina Faso
153,110,Afghanistan
154,109,Rwanda
155,109,Benin
156,102,Syria
157,109,Burundi
158,109,Togo
159,111,Belize
160,109,Somalia
161,104,Puerto Rico
162,109,Namibia
163,109,South Sudan
164,107,Taiwan Province of China
165,105,"Hong Kong S.A.R., China"
